country_iso,country_name,year,indicator_id,value
IND,India,1990,NY.GDP.PCAP.PP.KD,2139.82749174123
IND,India,1991,NY.GDP.PCAP.PP.KD,2116.06939249228
IND,India,1992,NY.GDP.PCAP.PP.KD,2185.04046180678
IND,India,1993,NY.GDP.PCAP.PP.KD,2241.28535932488
IND,India,1994,NY.GDP.PCAP.PP.KD,2342.15609263829
IND,India,1995,NY.GDP.PCAP.PP.KD,2469.3516292637
IND,India,1996,NY.GDP.PCAP.PP.KD,2603.24632974171
IND,India,1997,NY.GDP.PCAP.PP.KD,2655.92939429507
IND,India,1998,NY.GDP.PCAP.PP.KD,2766.110488608
IND,India,1999,NY.GDP.PCAP.PP.KD,2954.0688560393
IND,India,2000,NY.GDP.PCAP.PP.KD,3010.42156148397
IND,India,2001,NY.GDP.PCAP.PP.KD,3097.16224022342
IND,India,2002,NY.GDP.PCAP.PP.KD,3157.26903770593
IND,India,2003,NY.GDP.PCAP.PP.KD,3346.8882902915
IND,India,2004,NY.GDP.PCAP.PP.KD,3551.04731213773
IND,India,2005,NY.GDP.PCAP.PP.KD,3770.39653173829
IND,India,2006,NY.GDP.PCAP.PP.KD,4011.08647585805
IND,India,2007,NY.GDP.PCAP.PP.KD,4253.82139046739
IND,India,2008,NY.GDP.PCAP.PP.KD,4322.48378983546
IND,India,2009,NY.GDP.PCAP.PP.KD,4595.37990753812
IND,India,2010,NY.GDP.PCAP.PP.KD,4913.87639723705
IND,India,2011,NY.GDP.PCAP.PP.KD,5098.67458775444
IND,India,2012,NY.GDP.PCAP.PP.KD,5303.50197767655
IND,India,2013,NY.GDP.PCAP.PP.KD,5567.49439418718
IND,India,2014,NY.GDP.PCAP.PP.KD,5905.10618204633
IND,India,2015,NY.GDP.PCAP.PP.KD,6301.67346968236
IND,India,2016,NY.GDP.PCAP.PP.KD,6741.14883185347
IND,India,2017,NY.GDP.PCAP.PP.KD,7116.03659185396
IND,India,2018,NY.GDP.PCAP.PP.KD,7492.62576755145
IND,India,2019,NY.GDP.PCAP.PP.KD,7702.17634811957
IND,India,2020,NY.GDP.PCAP.PP.KD,7186.86447099679
IND,India,2021,NY.GDP.PCAP.PP.KD,7818.65701757504
IND,India,2022,NY.GDP.PCAP.PP.KD,8347.38478647086
IND,India,2023,NY.GDP.PCAP.PP.KD,8870.55027609345
IND,India,2024,NY.GDP.PCAP.PP.KD,9416.05137044735
IND,India,2025,NY.GDP.PCAP.PP.KD,10039.0708910587
USA,United States,1990,NY.GDP.PCAP.PP.KD,44384.2101912606
USA,United States,1991,NY.GDP.PCAP.PP.KD,43747.6307351749
USA,United States,1992,NY.GDP.PCAP.PP.KD,44664.873585596
USA,United States,1993,NY.GDP.PCAP.PP.KD,45292.7380683092
USA,United States,1994,NY.GDP.PCAP.PP.KD,46543.3199204553
USA,United States,1995,NY.GDP.PCAP.PP.KD,47227.0083257008
USA,United States,1996,NY.GDP.PCAP.PP.KD,48441.9061125568
USA,United States,1997,NY.GDP.PCAP.PP.KD,49990.6740739125
USA,United States,1998,NY.GDP.PCAP.PP.KD,51626.4838297863
USA,United States,1999,NY.GDP.PCAP.PP.KD,53480.8969962416
USA,United States,2000,NY.GDP.PCAP.PP.KD,55045.6745311559
USA,United States,2001,NY.GDP.PCAP.PP.KD,55024.3542766281
USA,United States,2002,NY.GDP.PCAP.PP.KD,55443.2199435683
USA,United States,2003,NY.GDP.PCAP.PP.KD,56505.4468784112
USA,United States,2004,NY.GDP.PCAP.PP.KD,58139.0820195229
USA,United States,2005,NY.GDP.PCAP.PP.KD,59612.3907215559
USA,United States,2006,NY.GDP.PCAP.PP.KD,60684.3399832539
USA,United States,2007,NY.GDP.PCAP.PP.KD,61314.4520816367
USA,United States,2008,NY.GDP.PCAP.PP.KD,60806.2238713713
USA,United States,2009,NY.GDP.PCAP.PP.KD,58722.496767251
USA,United States,2010,NY.GDP.PCAP.PP.KD,59797.0736545937
USA,United States,2011,NY.GDP.PCAP.PP.KD,60253.2035796719
USA,United States,2012,NY.GDP.PCAP.PP.KD,61142.3637034265
USA,United States,2013,NY.GDP.PCAP.PP.KD,61966.6621370894
USA,United States,2014,NY.GDP.PCAP.PP.KD,63026.8779187814
USA,United States,2015,NY.GDP.PCAP.PP.KD,64367.7188912582
USA,United States,2016,NY.GDP.PCAP.PP.KD,65025.9855980616
USA,United States,2017,NY.GDP.PCAP.PP.KD,66164.0320014289
USA,United States,2018,NY.GDP.PCAP.PP.KD,67728.4424921024
USA,United States,2019,NY.GDP.PCAP.PP.KD,69121.4580016741
USA,United States,2020,NY.GDP.PCAP.PP.KD,67406.8311325507
USA,United States,2021,NY.GDP.PCAP.PP.KD,71441.231980595
USA,United States,2022,NY.GDP.PCAP.PP.KD,72828.7430907189
USA,United States,2023,NY.GDP.PCAP.PP.KD,74351.6718197429
USA,United States,2024,NY.GDP.PCAP.PP.KD,75698.1773354629
USA,United States,2025,NY.GDP.PCAP.PP.KD,76931.3106990408
